TargetID,Color_Channel,Next_Base
cg06453691,Red,A
cg06454084,Grn,C
cg06454226,Red,A
cg06456031,Grn,C
cg06456512,Grn,C
cg06457357,Grn,C
cg06458239,Grn,C
cg06459066,Grn,C
cg06459327,Red,T
cg06459378,Red,T
cg06461769,Red,T
cg06461848,Red,T
cg06462291,Red,T
cg06462703,Grn,C
cg06463913,Grn,C
cg06465021,Grn,C
cg06465194,Grn,C
cg06465926,Red,A
cg06466479,Grn,C
cg06466797,Grn,C
cg06468695,Red,T
cg06469542,Grn,C
cg06470471,Red,T
cg06470552,Red,T
cg06470943,Grn,C
cg06471905,Red,T
cg06473539,Grn,C
cg06475327,Grn,C
cg06476337,Red,T
cg06476606,Red,T
cg06479216,Red,A
cg06479426,Grn,C
cg06479512,Grn,C
cg06481786,Red,A
cg06484397,Grn,C
cg06487986,Grn,C
cg06488505,Red,A
cg06488678,Red,T
cg06489008,Grn,C
cg06489418,Grn,C
cg06489804,Grn,C
cg06490162,Grn,C
cg06490951,Grn,C
cg06490988,Grn,C
cg06491116,Grn,C
cg06491924,Red,T
cg06492206,Red,T
cg06493080,Red,T
cg06493386,Grn,C
cg06493930,Red,A
cg06493994,Grn,C
cg06494770,Grn,C
cg06494782,Red,T
cg06495347,Grn,C
cg06495803,Red,T
cg06495924,Red,A
cg06496078,Grn,C
cg06496654,Grn,C
cg06497752,Grn,C
cg06497795,Grn,C
cg06498267,Red,T
cg06499565,Red,T
cg06499652,Grn,C
cg06500079,Red,T
cg06500476,Grn,C
cg06501070,Red,T
cg06501084,Grn,C
cg06501790,Red,T
cg06502510,Grn,C
cg06502868,Grn,C
cg06504820,Red,A
cg06505666,Red,T
cg06506156,Red,T
cg06506864,Grn,C
cg06507244,Red,T
cg06507645,Red,T
cg06508445,Grn,C
cg06508934,Red,T
cg06509239,Grn,C
cg06509940,Red,T
cg06510830,Red,T
cg06513075,Grn,C
cg06516124,Grn,C
cg06516650,Red,T
cg06517798,Grn,C
cg06518271,Grn,C
cg06518779,Red,A
cg06521280,Grn,C
cg06521761,Red,T
cg06521852,Red,T
cg06522719,Red,T
cg06526829,Red,T
cg06528936,Red,T
cg06529761,Red,T
cg06530118,Red,T
cg06531741,Red,T
cg06532147,Grn,C
cg06532176,Grn,C
cg06532493,Red,A
cg06533629,Red,T
cg06534172,Grn,C
cg06534422,Red,A
cg06536578,Red,A
cg06537230,Grn,C
cg06537829,Grn,C
cg06538003,Grn,C
cg06539449,Red,A
cg06539804,Grn,C
cg06540105,Red,T
cg06540636,Grn,C
cg06540715,Red,T
cg06540941,Red,A
cg06541857,Red,T
cg06542614,Red,T
cg06543018,Grn,C
cg06543761,Grn,C
cg06544198,Red,T
cg06545504,Grn,C
cg06545845,Grn,C
cg06546607,Grn,C
cg06547766,Red,T
cg06548519,Grn,C
cg06550629,Red,T
cg06552037,Grn,C
cg06552050,Grn,C
cg06554069,Red,A
cg06554542,Red,T
cg06554928,Grn,C
cg06557358,Grn,C
cg06557606,Grn,C
cg06563300,Red,T
cg06564900,Grn,C
cg06565684,Red,A
cg06566994,Grn,C
cg06567342,Red,T
cg06567423,Red,T
cg06570843,Red,T
cg06572160,Red,T
cg06572974,Red,T
cg06575572,Grn,C
cg06577005,Red,T
cg06577463,Grn,C
cg06577658,Grn,C
cg06577725,Grn,C
cg06580318,Grn,C
cg06583518,Red,T
cg06584407,Grn,C
cg06585027,Grn,C
cg06585108,Red,T
cg06585690,Red,T
cg06585893,Red,T
cg06586599,Grn,C
cg06587969,Grn,C
cg06588247,Grn,C
cg06589885,Red,T
cg06590533,Grn,C
cg06590610,Red,T
cg06590711,Red,T
cg06593568,Red,T
cg06594008,Grn,C
cg06595693,Red,A
cg06597095,Grn,C
cg06597861,Grn,C
cg06598256,Grn,C
cg06598631,Grn,C
cg06600412,Grn,C
cg06600447,Grn,C
cg06601473,Red,T
cg06602857,Grn,C
cg06605933,Red,T
cg06606198,Grn,C
cg06607866,Grn,C
cg06609049,Red,T
cg06609475,Grn,C
cg06611310,Grn,C
cg06611744,Red,T
cg06612452,Grn,C
cg06613840,Red,T
cg06614002,Grn,C
cg06615154,Grn,C
cg06615667,Red,T
cg06615861,Grn,C
cg06616147,Red,T
cg06616245,Grn,C
cg06617418,Grn,C
cg06618866,Grn,C
cg06619076,Red,A
cg06619299,Red,A
cg06620254,Grn,C
cg06621126,Red,T
cg06621358,Grn,C
cg06622725,Grn,C
cg06623268,Grn,C
cg06624832,Red,T
cg06625414,Grn,C
cg06625767,Red,A
cg06625811,Grn,C
cg06626655,Red,A
cg06627364,Grn,C
cg06628693,Red,T
cg06630241,Red,A
cg06630567,Grn,C
cg06630737,Grn,C
cg06632528,Grn,C
cg06634267,Grn,C
cg06636246,Red,T
cg06636463,Red,T
cg06637774,Red,T
cg06637893,Grn,C
cg06638012,Red,T
cg06638433,Grn,C
cg06638451,Red,T
cg06638966,Grn,C
cg06639544,Red,T
cg06640279,Red,T
cg06641366,Grn,C
cg06641503,Red,T
cg06642617,Grn,C
cg06643227,Red,T
cg06645778,Red,T
cg06646021,Red,T
cg06648029,Grn,C
cg06649520,Grn,C
cg06650260,Grn,C
cg06650786,Red,T
cg06653796,Red,T
cg06654134,Red,T
cg06654447,Red,A
cg06655089,Red,T
cg06655100,Red,T
cg06655504,Grn,C
cg06656924,Grn,C
cg06657741,Grn,C
cg06659073,Red,A
cg06659128,Grn,C
cg06661765,Grn,C
cg06661994,Red,T
cg06665322,Grn,C
cg06665799,Grn,C
cg06665941,Red,T
cg06665984,Grn,C
cg06666486,Red,T
cg06667091,Grn,C
cg06667406,Grn,C
cg06668073,Grn,C
cg06668300,Grn,C
cg06672652,Red,T
cg06673956,Red,T
cg06675341,Red,T
cg06675478,Grn,C
cg06675496,Red,T
cg06677140,Grn,C
cg06677660,Grn,C
cg06679221,Red,T
cg06682185,Red,A
cg06682978,Grn,C
cg06684910,Grn,C
cg06687562,Grn,C
cg06688396,Grn,C
cg06688848,Grn,C
cg06689536,Red,T
cg06690548,Red,T
cg06690633,Grn,C
cg06691299,Grn,C
cg06692050,Grn,C
cg06692957,Red,T
cg06695761,Grn,C
cg06697251,Red,T
cg06698742,Grn,C
cg06699365,Grn,C
cg06700265,Grn,C
cg06700462,Grn,C
cg06701500,Red,T
cg06707338,Red,T
cg06707886,Grn,C
cg06708560,Red,A
cg06710522,Grn,C
cg06710648,Red,T
cg06711560,Grn,C
cg06712026,Grn,C
cg06713098,Grn,C
cg06714705,Red,T
cg06716436,Red,T
cg06717104,Grn,C
cg06717231,Grn,C
cg06718696,Grn,C
cg06719391,Red,T
cg06720424,Grn,C
cg06720660,Grn,C
cg06720956,Grn,C
cg06722216,Red,T
cg06722633,Red,A
cg06722792,Grn,C
cg06723357,Red,T
cg06725035,Grn,C
cg06725760,Red,A
cg06726207,Grn,C
cg06728335,Grn,C
cg06730286,Red,T
cg06730468,Red,A
cg06731484,Grn,C
cg06731599,Grn,C
cg06734812,Red,T
cg06734828,Grn,C
cg06734962,Grn,C
cg06736444,Red,T
cg06738602,Grn,C
cg06740897,Red,T
cg06742978,Grn,C
cg06743811,Grn,C
cg06744574,Grn,C
cg06745740,Red,T
cg06746101,Grn,C
cg06746171,Grn,C
cg06747888,Red,T
cg06748315,Red,T
cg06750167,Red,T
cg06751597,Grn,C
cg06752594,Grn,C
cg06754047,Red,T
cg06755819,Grn,C
cg06757810,Red,A
cg06758848,Grn,C
cg06759215,Red,T
cg06759890,Grn,C
cg06760035,Grn,C
cg06762858,Red,A
cg06763078,Red,T
cg06765434,Grn,C
cg06765514,Red,A
cg06765947,Grn,C
cg06766367,Grn,C
cg06768707,Grn,C
cg06771126,Red,T
cg06772202,Grn,C
cg06776256,Grn,C
cg06777274,Grn,C
cg06777581,Grn,C
cg06777715,Red,T
cg06778853,Grn,C
cg06779945,Red,T
cg06780358,Grn,C
cg06781209,Grn,C
cg06782692,Grn,C
cg06782849,Grn,C
cg06783668,Grn,C
cg06784339,Grn,C
cg06784466,Red,T
cg06785429,Red,T
cg06785822,Grn,C
cg06786424,Grn,C
cg06790275,Grn,C
cg06790324,Red,A
cg06790862,Grn,C
cg06791102,Grn,C
cg06791867,Red,A
cg06792598,Grn,C
cg06792911,Grn,C
cg06793062,Red,T
cg06796611,Red,T
cg06797533,Grn,C
cg06798189,Red,A
cg06799664,Red,T
cg06800962,Red,T
cg06803184,Grn,C
cg06803253,Grn,C
cg06804431,Grn,C
cg06804711,Red,T
cg06806080,Grn,C
cg06806711,Red,A
cg06807379,Red,T
cg06807579,Grn,C
cg06807989,Grn,C
cg06808983,Grn,C
cg06809565,Grn,C
cg06810461,Grn,C
cg06810647,Grn,C
cg06811800,Red,T
cg06812033,Red,A
cg06812844,Red,T
cg06812977,Grn,C
cg06813842,Red,A
cg06815666,Grn,C
cg06815817,Grn,C
cg06816063,Grn,C
cg06816106,Grn,C
cg06816161,Grn,C
cg06817264,Red,A
cg06817269,Red,T
cg06817917,Grn,C
cg06818415,Grn,C
cg06818473,Red,T
cg06818777,Grn,C
cg06819200,Red,T
cg06821120,Red,A
cg06821274,Red,T
cg06821993,Grn,C
cg06822229,Grn,C
cg06822995,Grn,C
cg06823263,Red,T
cg06824727,Grn,C
cg06825142,Grn,C
cg06825166,Red,T
cg06827038,Grn,C
cg06827976,Grn,C
cg06830426,Grn,C
cg06831658,Red,A
cg06832039,Red,A
cg06832950,Grn,C
cg06833562,Grn,C
cg06834261,Red,T
cg06834875,Grn,C
cg06834983,Grn,C
cg06836338,Grn,C
cg06836736,Grn,C
cg06836772,Grn,C
cg06836849,Red,T
cg06837731,Grn,C
cg06838394,Red,A
cg06839953,Grn,C
cg06840042,Grn,C
cg06840226,Grn,C
cg06840239,Grn,C
cg06840801,Red,T
cg06848073,Red,T
cg06848288,Grn,C
cg06849227,Grn,C
cg06849477,Grn,C
cg06850526,Red,T
cg06851207,Red,T
cg06852652,Grn,C
cg06852744,Red,T
cg06855803,Red,T
cg06856528,Grn,C
cg06859828,Red,T
cg06862062,Grn,C
cg06862644,Red,A
cg06864275,Grn,C
cg06866657,Grn,C
cg06866862,Grn,C
cg06868758,Red,T
cg06869899,Red,T
cg06871974,Red,T
cg06872331,Grn,C
cg06872381,Red,A
cg06873352,Grn,C
cg06874144,Red,T
cg06878726,Grn,C
cg06880557,Red,T
cg06882877,Red,A
cg06882926,Red,T
cg06883149,Grn,C
cg06885524,Grn,C
cg06885782,Grn,C
cg06886022,Grn,C
cg06887167,Red,T
cg06887170,Grn,C
cg06887414,Grn,C
cg06887663,Grn,C
cg06890553,Grn,C
cg06892726,Red,T
cg06893980,Red,T
cg06894381,Grn,C
cg06894812,Grn,C
cg06896207,Grn,C
cg06898923,Grn,C
cg06899329,Red,T
cg06899582,Grn,C
cg06899802,Grn,C
cg06899808,Grn,C
cg06899976,Grn,C
cg06900776,Red,T
cg06901392,Red,A
cg06904813,Red,T
cg06905514,Grn,C
cg06905862,Grn,C
cg06906435,Red,T
cg06907544,Red,T
cg06908474,Red,T
cg06908778,Grn,C
cg06910048,Red,T
cg06910100,Grn,C
cg06911084,Red,A
cg06911113,Grn,C
cg06912252,Grn,C
cg06913228,Grn,C
cg06914598,Grn,C
cg06915165,Red,T
cg06917325,Grn,C
cg06918467,Grn,C
cg06919067,Grn,C
cg06919203,Grn,C
cg06919956,Grn,C
cg06921282,Red,T
cg06922130,Red,T
cg06926735,Grn,C
cg06927864,Grn,C
cg06930095,Grn,C
cg06933072,Red,T
cg06933965,Grn,C
cg06937608,Grn,C
cg06938406,Red,T
cg06938878,Red,T
cg06940107,Red,T
cg06940574,Grn,C
cg06940792,Grn,C
cg06941093,Grn,C
cg06942110,Red,T
cg06942445,Red,T
cg06942536,Red,T
cg06943865,Grn,C
cg06944050,Grn,C
cg06945625,Grn,C
cg06946880,Red,A
cg06948294,Grn,C
cg06948408,Red,T
cg06948937,Grn,C
cg06949789,Red,T
cg06950730,Grn,C
cg06952117,Grn,C
cg06952236,Red,A
cg06952310,Grn,C
cg06953304,Red,T
cg06953768,Red,A
cg06953995,Grn,C
cg06954481,Red,A
cg06956273,Red,A
cg06956646,Red,T
cg06957329,Grn,C
cg06958034,Grn,C
cg06958211,Red,T
cg06958537,Red,T
cg06958829,Grn,C
cg06959635,Grn,C
cg06960698,Red,T
cg06963844,Grn,C
cg06971096,Grn,C
cg06973652,Red,T
cg06973760,Red,T
cg06974755,Grn,C
cg06975499,Grn,C
cg06975739,Grn,C
cg06976977,Red,T
cg06979034,Red,T
cg06980053,Grn,C
cg06980380,Grn,C
cg06980460,Red,T
cg06981182,Grn,C
cg06981910,Grn,C
cg06983551,Grn,C
cg06985415,Red,T
cg06987504,Red,T
cg06990298,Grn,C
cg06990379,Grn,C
cg06992027,Grn,C
cg06993413,Grn,C
cg06994747,Grn,C
cg06994793,Red,T
cg06995715,Red,T
cg06999776,Red,T
cg07000551,Grn,C
cg07000785,Red,A
cg07000831,Grn,C
cg07003563,Red,T
cg07004820,Grn,C
cg07005513,Grn,C
cg07005767,Red,T
cg07006042,Red,T
cg07006526,Grn,C
cg07007400,Grn,C
cg07008350,Red,A
cg07008386,Grn,C
cg07009002,Grn,C
cg07011110,Grn,C
cg07011445,Grn,C
cg07013734,Red,T
cg07014174,Red,T
cg07015079,Grn,C
cg07015629,Red,T
cg07016325,Grn,C
cg07017374,Grn,C
cg07017477,Red,A
cg07017706,Grn,C
cg07018708,Red,T
cg07020407,Grn,C
cg07020962,Red,T
cg07022477,Red,T
cg07022885,Grn,C
cg07026910,Grn,C
cg07027075,Grn,C
cg07027513,Grn,C
cg07027685,Grn,C
cg07028533,Grn,C
cg07028869,Red,A
cg07029998,Red,T
cg07031532,Grn,C
cg07031996,Red,T
cg07033083,Red,T
cg07034269,Red,A
cg07034561,Grn,C
cg07035740,Grn,C
cg07036530,Grn,C
cg07036775,Grn,C
cg07038400,Grn,C
cg07038617,Grn,C
cg07038887,Grn,C
cg07039113,Red,T
cg07039362,Grn,C
cg07042144,Red,T
cg07043494,Grn,C
cg07044282,Grn,C
cg07047653,Grn,C
cg07048066,Grn,C
cg07048351,Red,T
cg07049929,Red,A
cg07050831,Red,A
cg07051140,Red,A
cg07051960,Grn,C
cg07052087,Grn,C
cg07052387,Grn,C
cg07052880,Grn,C
cg07053469,Grn,C
cg07054095,Red,T
cg07054526,Grn,C
cg07054641,Red,T
cg07054788,Red,T
cg07056057,Red,T
cg07057831,Grn,C
cg07059052,Grn,C
cg07059360,Grn,C
cg07059403,Grn,C
cg07059875,Red,T
cg07060572,Grn,C
cg07061145,Grn,C
cg07061913,Grn,C
cg07063745,Grn,C
cg07064406,Grn,C
cg07065941,Grn,C
cg07066326,Grn,C
cg07067241,Grn,C
cg07068616,Grn,C
cg07068998,Red,A
cg07070694,Red,A
cg07070934,Red,A
cg07070940,Grn,C
cg07071881,Grn,C
cg07072140,Grn,C
cg07072643,Red,T
cg07073964,Red,T
cg07074571,Red,A
cg07075930,Red,T
cg07076342,Grn,C
cg07077459,Red,A
cg07078114,Grn,C
cg07080007,Grn,C
cg07080358,Grn,C
cg07080946,Red,T
cg07081888,Red,T
cg07082331,Grn,C
cg07084161,Grn,C
cg07084163,Red,A
cg07084709,Red,T
cg07084746,Grn,C
cg07085271,Grn,C
cg07086380,Grn,C
cg07086898,Grn,C
cg07090813,Grn,C
cg07091552,Grn,C
cg07091958,Grn,C
cg07092725,Grn,C
cg07093046,Red,T
cg07093661,Red,A
cg07097098,Red,T
cg07098866,Grn,C
cg07099407,Red,T
cg07099627,Red,T
cg07102705,Red,T
cg07103493,Grn,C
cg07103819,Grn,C
cg07104706,Red,T
cg07105440,Grn,C
cg07107453,Red,T
cg07109287,Red,A
cg07109670,Grn,C
cg07109801,Grn,C
cg07112154,Grn,C
cg07112210,Grn,C
cg07113600,Grn,C
cg07114024,Red,A
cg07114894,Red,T
cg07115304,Grn,C
cg07115558,Grn,C
cg07115820,Red,A
cg07117700,Red,T
cg07118243,Grn,C
cg07118638,Red,T
cg07122126,Grn,C
cg07122495,Red,T
cg07123069,Red,T
cg07123548,Red,A
cg07125009,Grn,C
cg07125123,Red,A
cg07125166,Grn,C
cg07125991,Red,T
cg07126559,Grn,C
cg07126839,Red,T
cg07127225,Grn,C
cg07127957,Grn,C
cg07128330,Grn,C
cg07129274,Red,T
cg07131544,Red,T
cg07132517,Grn,C
cg07133445,Grn,C
cg07136161,Red,A
cg07136254,Red,T
cg07136421,Grn,C
cg07137581,Red,T
cg07138512,Grn,C
cg07139440,Red,A
cg07141002,Grn,C
cg07142319,Red,T
cg07143898,Red,T
cg07146718,Red,T
cg07147350,Red,T
cg07148914,Grn,C
cg07149772,Grn,C
cg07150830,Grn,C
cg07152925,Red,T
cg07153965,Grn,C
cg07154408,Red,T
cg07155664,Grn,C
cg07156669,Red,T
cg07158339,Grn,C
cg07159490,Red,T
cg07160163,Grn,C
cg07163603,Grn,C
cg07165793,Grn,C
cg07168556,Red,T
cg07172256,Grn,C
cg07172280,Grn,C
cg07173760,Red,T
cg07175007,Red,T
cg07175883,Grn,C
cg07177300,Grn,C
cg07177755,Red,T
cg07177852,Grn,C
cg07179770,Grn,C
cg07180649,Red,A
cg07181349,Grn,C
cg07181881,Red,T
cg07184439,Grn,C
cg07185695,Grn,C
cg07186138,Grn,C
cg07186707,Grn,C
cg07189381,Red,A
cg07190485,Grn,C
cg07190917,Grn,C
cg07191600,Red,T
cg07192857,Grn,C
cg07193504,Grn,C
cg07195282,Grn,C
cg07195577,Grn,C
cg07195622,Red,A
cg07196761,Grn,C
cg07197059,Red,T
cg07197823,Grn,C
cg07200280,Grn,C
cg07200897,Red,T
cg07204803,Grn,C
cg07207789,Grn,C
cg07207937,Red,T
cg07209631,Grn,C
cg07210490,Red,T
cg07211259,Red,T
cg07212894,Red,T
cg07214572,Red,T
cg07215749,Grn,C
cg07218192,Red,T
cg07218880,Grn,C
cg07220442,Grn,C
cg07220939,Red,T
cg07221454,Grn,C
cg07223164,Grn,C
cg07230446,Red,T
cg07231132,Red,T
cg07232688,Grn,C
cg07233761,Red,T
cg07236190,Red,T
cg07236358,Grn,C
cg07236381,Grn,C
cg07236769,Red,T
cg07236943,Red,T
cg07237830,Red,T
cg07237939,Grn,C
cg07238167,Grn,C
cg07239938,Red,T
cg07240721,Red,A
cg07241568,Grn,C
cg07242375,Grn,C
cg07242414,Red,T
cg07242565,Red,T
cg07243519,Grn,C
cg07243932,Grn,C
cg07246225,Red,T
cg07248043,Grn,C
cg07248310,Grn,C
cg07248407,Grn,C
cg07249409,Grn,C
cg07251788,Grn,C
cg07251857,Grn,C
cg07253191,Red,T
cg07256847,Red,T
cg07258507,Red,T
cg07259382,Red,T
cg07260017,Red,T
cg07260592,Grn,C
cg07263984,Grn,C
cg07264679,Red,T
cg07265300,Grn,C
cg07265310,Red,T
cg07265622,Red,T
cg07267296,Red,A
cg07269146,Red,T
cg07270175,Red,T
cg07271264,Grn,C
cg07271268,Grn,C
cg07273415,Grn,C
cg07274506,Grn,C
cg07276902,Grn,C
cg07278207,Grn,C
cg07278624,Red,A
cg07281640,Red,T
cg07281688,Grn,C
cg07284407,Grn,C
cg07284558,Grn,C
cg07285167,Red,T
cg07285276,Red,A
cg07285838,Red,T
cg07285953,Red,A
cg07288394,Grn,C
cg07288587,Grn,C
cg07289581,Red,T
cg07290273,Red,T
cg07290435,Grn,C
cg07291563,Grn,C
cg07292816,Grn,C
cg07293947,Red,T
cg07294541,Grn,C
cg07294734,Grn,C
cg07294774,Red,T
cg07294870,Grn,C
cg07295034,Red,A
cg07295092,Grn,C
cg07295678,Red,T
cg07296772,Red,T
cg07297178,Red,A
cg07297906,Red,T
cg07299462,Red,T
cg07300408,Red,T
cg07301004,Red,T
cg07301822,Red,T
cg07306197,Grn,C
cg07307078,Grn,C
cg07308943,Grn,C
cg07309102,Red,T
cg07309361,Grn,C
cg07309374,Red,T
cg07310661,Grn,C
cg07310951,Grn,C
cg07311845,Red,A
cg07312445,Grn,C
cg07313155,Red,T
cg07314337,Grn,C
cg07314414,Grn,C
cg07314549,Red,T
cg07314984,Red,T
cg07315298,Grn,C
cg07315445,Grn,C
cg07318658,Red,A
cg07321605,Red,T
cg07322981,Grn,C
cg07326074,Grn,C
cg07326586,Red,T
cg07327328,Grn,C
cg07327347,Red,T
cg07327468,Red,T
cg07328495,Red,T
cg07328579,Red,T
cg07330329,Red,T
cg07330718,Red,T
cg07331725,Grn,C
cg07331806,Grn,C
cg07334912,Red,T
cg07336230,Grn,C
cg07337598,Grn,C
cg07338205,Red,T
cg07339138,Red,T
cg07339327,Red,A
cg07341907,Grn,C
cg07342016,Red,T
cg07342545,Grn,C
cg07342901,Red,A
cg07346310,Red,T
cg07347137,Grn,C
cg07347645,Grn,C
cg07347725,Grn,C
cg07348311,Grn,C
cg07349094,Red,T
cg07351267,Grn,C
cg07352586,Grn,C
cg07352600,Red,T
cg07354209,Grn,C
cg07354440,Grn,C
cg07355551,Red,T
cg07356189,Grn,C
cg07356753,Grn,C
cg07356771,Red,T
cg07357256,Red,T
cg07359545,Grn,C
cg07360076,Grn,C
cg07360692,Grn,C
cg07361385,Grn,C
cg07363637,Grn,C
cg07364638,Red,T
cg07364841,Red,T
cg07366967,Grn,C
cg07369274,Grn,C
cg07371290,Grn,C
cg07371530,Red,T
cg07373172,Red,T
cg07374145,Grn,C
cg07374632,Grn,C
cg07374637,Grn,C
cg07374928,Red,T
cg07376029,Red,T
cg07376232,Red,T
cg07376535,Red,T
cg07378350,Grn,C
cg07379574,Red,A
cg07380416,Grn,C
cg07380496,Grn,C
cg07380959,Red,T
cg07383972,Grn,C
cg07384961,Red,T
cg07387199,Grn,C
cg07387450,Grn,C
cg07388493,Red,T
cg07389922,Red,T
cg07393322,Grn,C
cg07395788,Red,T
cg07398350,Grn,C
cg07398429,Grn,C
cg07399355,Red,T
cg07401901,Grn,C
cg07403255,Grn,C
cg07403350,Grn,C
cg07404418,Red,T
cg07404485,Red,T
cg07405796,Red,A
cg07408456,Red,A
cg07408740,Grn,C
cg07409200,Red,T
cg07410075,Grn,C
cg07411229,Grn,C
cg07412254,Red,A
cg07413497,Grn,C
cg07414384,Grn,C
cg07421682,Red,T
cg07422345,Grn,C
cg07423149,Red,T
cg07423906,Red,T
cg07424155,Grn,C
cg07425555,Red,A
cg07426848,Red,A
cg07426960,Grn,C
cg07427065,Red,A
cg07428089,Red,T
cg07428182,Red,T
cg07430605,Grn,C
cg07432969,Grn,C
cg07433344,Grn,C
cg07433453,Grn,C
cg07434278,Grn,C
cg07434382,Grn,C
cg07435592,Red,T
cg07436807,Red,T
cg07437033,Grn,C
cg07440387,Grn,C
cg07440414,Grn,C
cg07440877,Red,T
cg07441143,Red,T
cg07441272,Grn,C
cg07442479,Grn,C
cg07443748,Red,T
cg07443954,Red,A
cg07444907,Grn,C
cg07446572,Red,A
cg07446846,Grn,C
cg07447773,Red,A
cg07447922,Grn,C
cg07448460,Red,T
cg07448499,Grn,C
cg07448856,Red,A
cg07452799,Red,T
cg07453618,Grn,C
cg07453748,Grn,C
cg07454215,Grn,C
cg07455279,Grn,C
cg07455975,Grn,C
cg07456201,Red,A
cg07456645,Red,T
cg07457944,Red,T
cg07459264,Grn,C
cg07459489,Grn,C
cg07460665,Red,T
cg07461318,Grn,C
cg07461582,Grn,C
cg07463059,Red,T
cg07465480,Grn,C
cg07465609,Red,T
cg07465864,Grn,C
cg07466531,Red,T
cg07469792,Grn,C
cg07471052,Grn,C
cg07472159,Grn,C
cg07473175,Grn,C
cg07473550,Red,T
cg07474356,Grn,C
cg07475247,Red,T
cg07475743,Grn,C
cg07476030,Red,T
cg07477160,Red,T
cg07478100,Grn,C
cg07478122,Grn,C
cg07478208,Red,A
cg07479491,Grn,C
cg07480567,Grn,C
cg07482936,Grn,C
cg07483064,Grn,C
cg07484450,Grn,C
cg07484827,Red,T
cg07485588,Red,A
cg07485777,Grn,C
cg07487535,Grn,C
cg07489003,Grn,C
cg07489134,Grn,C
cg07490776,Grn,C
cg07494047,Grn,C
cg07494248,Red,T
cg07494518,Grn,C
cg07495664,Red,T
cg07496861,Grn,C
cg07496902,Grn,C
cg07498421,Grn,C
cg07498879,Red,A
cg07499072,Grn,C
cg07499372,Red,T
cg07499806,Grn,C
cg07501965,Grn,C
cg07503829,Grn,C
cg07504718,Red,T
cg07504780,Grn,C
cg07505695,Red,T
cg07506795,Grn,C
cg07507271,Grn,C
cg07509155,Grn,C
cg07510052,Grn,C
cg07510080,Grn,C
cg07512345,Grn,C
cg07512517,Red,T
cg07514381,Grn,C
cg07515662,Grn,C
cg07516225,Red,T
cg07518362,Red,A
cg07519011,Grn,C
cg07520158,Red,A
cg07520161,Red,T
cg07525077,Red,T
cg07525445,Red,T
cg07526021,Grn,C
cg07526069,Red,T
cg07526675,Grn,C
cg07531356,Red,T
cg07533148,Grn,C
cg07533529,Grn,C
cg07534467,Grn,C
cg07535475,Grn,C
cg07535879,Grn,C
cg07536847,Grn,C
cg07536920,Grn,C
cg07537523,Red,T
cg07540118,Grn,C
cg07543883,Grn,C
cg07545232,Grn,C
cg07545925,Red,T
cg07546360,Grn,C
cg07548313,Grn,C
cg07549194,Red,T
cg07549630,Red,T
cg07549715,Red,T
cg07550267,Red,T
cg07550278,Red,T
cg07550362,Grn,C
cg07551659,Red,T
cg07554030,Red,T
cg07557424,Grn,C
cg07558006,Red,T
cg07558455,Grn,C
cg07559730,Red,T
cg07560096,Grn,C
cg07561400,Grn,C
cg07561588,Grn,C
cg07566050,Grn,C
cg07567107,Grn,C
cg07569069,Grn,C
cg07569756,Red,T
cg07570142,Grn,C
cg07570421,Red,A
cg07571117,Red,T
cg07572341,Grn,C
cg07572435,Grn,C
cg07576541,Red,A
cg07577263,Red,T
cg07579404,Red,A
cg07580475,Grn,C
cg07580827,Red,A
cg07581365,Grn,C
cg07581973,Red,T
cg07584959,Grn,C
cg07586911,Red,T
cg07588113,Red,T
cg07588664,Grn,C
cg07588779,Red,T
cg07589355,Red,A
cg07590705,Grn,C
cg07592353,Grn,C
cg07594478,Grn,C
cg07594933,Grn,C
cg07595113,Grn,C
cg07595943,Red,A
cg07596401,Grn,C
cg07596494,Grn,C
cg07597871,Red,T
cg07597976,Red,T
cg07598199,Red,T
cg07599644,Red,T
cg07601320,Grn,C
cg07602026,Red,T
cg07602200,Red,T
cg07603484,Red,T
cg07605143,Grn,C
cg07607462,Grn,C
cg07607921,Red,A
cg07608333,Red,T
cg07611177,Grn,C
cg07611334,Grn,C
cg07611925,Red,T
cg07612655,Red,T
cg07613153,Red,T
cg07613278,Grn,C
cg07614786,Grn,C
cg07617246,Grn,C
cg07617560,Grn,C
cg07618900,Red,A
cg07619076,Grn,C
cg07621042,Grn,C
cg07621046,Grn,C
cg07621456,Red,T
cg07623294,Red,T
cg07625840,Grn,C
cg07628086,Red,T
cg07629017,Red,T
cg07633499,Red,T
cg07634191,Red,A
cg07634204,Grn,C
cg07634706,Grn,C
cg07636178,Grn,C
cg07637239,Red,T
cg07638871,Grn,C
cg07638935,Red,T
cg07638938,Red,A
cg07639198,Red,T
cg07639720,Red,A
cg07639959,Grn,C
cg07640473,Red,A
cg07640820,Grn,C
cg07641524,Red,A
cg07642638,Grn,C
cg07643942,Red,T
cg07644368,Grn,C
cg07651242,Grn,C
cg07651857,Grn,C
cg07651914,Grn,C
cg07652213,Red,A
cg07652553,Red,T
cg07654843,Red,T
cg07654896,Grn,C
cg07654934,Grn,C
cg07655627,Grn,C
cg07656304,Red,T
cg07656362,Red,T
cg07656391,Grn,C
cg07657236,Grn,C
cg07657776,Grn,C
cg07658590,Red,T
cg07658718,Grn,C
cg07660236,Grn,C
cg07663789,Grn,C
cg07664027,Grn,C
